userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess,
abrown53,SumParityInt,0,eval_input,2020-03-26 22:42:46,1 2 3,0,,,,,
abrown53,SumParityInt,1,eval_input,2020-03-26 22:42:57,3 4 5 6 7,1,,,,,
abrown53,SumParityInt,2,eval_input,2020-03-26 22:42:59,3 4 5 6,0,,,,,
abrown53,SumParityInt,3,eval_input,2020-03-26 22:43:02,3 4 5 6 7 8,1,,,,,
abrown53,SumParityInt,4,eval_input,2020-03-26 22:43:04,3 4 5 6 7 8 9 10,0,,,,,
abrown53,SumParityInt,5,eval_input,2020-03-26 22:43:07,3 4 5 6 7 8 9,0,,,,,
abrown53,SumParityInt,6,eval_input,2020-03-26 22:43:09,3 4 5 6 7 8,1,,,,,
abrown53,SumParityInt,7,eval_input,2020-03-26 22:43:13,1 1,0,,,,,
abrown53,SumParityInt,8,eval_input,2020-03-26 22:43:16,1 1 1,1,,,,,
abrown53,SumParityInt,9,eval_input,2020-03-26 22:43:18,1 1 1 1,0,,,,,
abrown53,SumParityInt,10,eval_input,2020-03-26 22:43:19,1 1 1 1 1,1,,,,,
abrown53,SumParityInt,11,eval_input,2020-03-26 22:43:25,1 1 1 1 1 1,0,,,,,
abrown53,SumParityInt,12,eval_input,2020-03-26 22:43:27,1 1 1 1 1 1 1,1,,,,,
abrown53,SumParityInt,13,eval_input,2020-03-26 22:43:28,1 1 1 1 1 1 1 2,1,,,,,
abrown53,SumParityInt,14,eval_input,2020-03-26 22:43:29,1 1 1 1 1 1 1 2 4,1,,,,,
abrown53,SumParityInt,15,quiz_answer,2020-03-26 22:44:06,333,1,0,1,true,,
abrown53,SumParityInt,16,quiz_answer,2020-03-26 22:44:13,-8 3,1,1,1,true,,
abrown53,SumParityInt,17,quiz_answer,2020-03-26 22:44:16,1 0 1,0,2,0,true,,
abrown53,SumParityInt,18,final_answer,2020-03-26 22:44:19,,,,,,"If the sum of the numbers in the list is odd, print 1. If the sum is even, print 0.",
abrown53,Induced,19,eval_input,2020-03-26 22:44:32,1,0,,,,,
abrown53,Induced,20,eval_input,2020-03-26 22:44:34,2,1,,,,,
abrown53,Induced,21,eval_input,2020-03-26 22:44:36,4,6,,,,,
abrown53,Induced,22,eval_input,2020-03-26 22:44:37,3,3,,,,,
abrown53,Induced,23,eval_input,2020-03-26 22:44:45,5,10,,,,,
abrown53,Induced,24,eval_input,2020-03-26 22:44:53,6,15,,,,,
abrown53,Induced,25,eval_input,2020-03-26 22:45:01,7,21,,,,,
abrown53,Induced,26,eval_input,2020-03-26 22:45:04,-1,1,,,,,
abrown53,Induced,27,eval_input,2020-03-26 22:45:09,-2,3,,,,,
abrown53,Induced,28,eval_input,2020-03-26 22:45:17,-3,6,,,,,
abrown53,Induced,29,eval_input,2020-03-26 22:45:19,100,4950,,,,,
abrown53,Induced,30,quiz_answer,2020-03-26 22:45:52,11,55,0,55,true,,
abrown53,Induced,31,quiz_answer,2020-03-26 22:45:58,9,36,1,36,true,,
abrown53,Induced,32,quiz_answer,2020-03-26 22:46:02,6,15,2,15,true,,
abrown53,Induced,33,final_answer,2020-03-26 22:46:03,,,,,,"Given a number n, prints out the number ((n)(n-1))/2.",
abrown53,Average,34,eval_input,2020-03-26 22:46:15,1 2,1.5,,,,,
abrown53,Average,35,eval_input,2020-03-26 22:46:17,1 3,2,,,,,
abrown53,Average,36,eval_input,2020-03-26 22:46:19,1 3 5,3,,,,,
abrown53,Average,37,eval_input,2020-03-26 22:46:21,1 3 6,3.33333333333333,,,,,
abrown53,Average,38,eval_input,2020-03-26 22:46:25,1 3 6 6,4,,,,,
abrown53,Average,39,eval_input,2020-03-26 22:46:27,1 3 6 6 5,4.2,,,,,
abrown53,Average,40,eval_input,2020-03-26 22:46:30,1 3 6 6 5 100,20.1666666666667,,,,,
abrown53,Average,41,quiz_answer,2020-03-26 22:46:55,1 8 24,11,0,11,true,,
abrown53,Average,42,quiz_answer,2020-03-26 22:46:59,8 1 24,11,1,11,true,,
abrown53,Average,43,quiz_answer,2020-03-26 22:47:03,1 2 3 14,5,2,5,true,,
abrown53,Average,44,final_answer,2020-03-26 22:47:04,,,,,,Prints out the average of the numbers in the list.,
abrown53,SecondIntoFirstDivisible,45,eval_input,2020-03-26 22:47:13,1 1,true,,,,,
abrown53,SecondIntoFirstDivisible,46,eval_input,2020-03-26 22:47:15,1 2,false,,,,,
abrown53,SecondIntoFirstDivisible,47,eval_input,2020-03-26 22:47:16,1 3,false,,,,,
abrown53,SecondIntoFirstDivisible,48,eval_input,2020-03-26 22:47:17,1 4,false,,,,,
abrown53,SecondIntoFirstDivisible,49,eval_input,2020-03-26 22:47:18,1 11,false,,,,,
abrown53,SecondIntoFirstDivisible,50,eval_input,2020-03-26 22:47:20,11 11,true,,,,,
abrown53,SecondIntoFirstDivisible,51,eval_input,2020-03-26 22:47:23,12 11,false,,,,,
abrown53,SecondIntoFirstDivisible,52,eval_input,2020-03-26 22:47:26,12 -12,true,,,,,
abrown53,SecondIntoFirstDivisible,53,eval_input,2020-03-26 22:47:31,-12 -12,true,,,,,
abrown53,SecondIntoFirstDivisible,54,eval_input,2020-03-26 22:47:34,-12 12,true,,,,,
abrown53,SecondIntoFirstDivisible,55,eval_input,2020-03-26 22:47:42,-12 -120,false,,,,,
abrown53,SecondIntoFirstDivisible,56,eval_input,2020-03-26 22:47:44,-120 -120,true,,,,,
abrown53,SecondIntoFirstDivisible,57,eval_input,2020-03-26 22:47:46,120 -120,true,,,,,
abrown53,SecondIntoFirstDivisible,58,eval_input,2020-03-26 22:47:50,-120 -120,true,,,,,
abrown53,SecondIntoFirstDivisible,59,eval_input,2020-03-26 22:47:51,-120 120,true,,,,,
