,,Comprehensible?,Negative inputs mentioned?,Expression?,Correctness?,Miscellaneous?,,
jzhang30,Result = 0   for( i=0 ; i<=absoluteValue(input) ;  i++) { result += I ; } return result – input,NORM,I-NEG,I-ATH,COR,CODE ,NOUT ,NIN
ksachan,Let n be input.  If n > 0: return (n-1)(n-2)/2 else: return (-n)(-n - 1)/2,NORM,I-DNEG,I-ATH,COR,NIN,,
mgans,(n(n-1))/2,NORM,,I-ATH,COR,NIN,,
cander23,(     ((n-1)^2) + (n-1)     ) / 2,NORM,,I-ATH,COR,NIN,,
scho31,(x^2 - x) / 2,NORM,,I-ATH,COR,NIN,,
ncousin2,x * (x-1) /2,NORM,,I-ATH,COR,NIN,,
sddd,x(x-1)/2,NORM,,I-ATH,COR,NIN,,
jidehen,Let input = n. Function calculates n(n-1)/2,NORM,,I-ATH,COR,NIN,,
jbernar3,(1/2)(x)(x-1),NORM,,I-ATH,COR,NIN,,
yyang149,a*a/2 - a/2,NORM,,I-ATH,COR,NIN,,
ading6,"""= x * (x-1)*0.5""",NORM,,I-ATH,COR,NIN,,
abrown53,"Given a number n, prints out the number ((n)(n-1))/2.",NORM,,I-ATH,COR,NIN,PRINT,
bhurd1,(input / 2) * (input) - (input / 2),NORM,,I-ATH,COR,NIN,,
dli72,Returns n*(n-1)/2.,NORM,,I-ATH,COR,NIN,,
srockhil,"squares the input, divides that by 2 (rounds down) and then subtracts half of the original input.",NORM,,I-ATH,COR,,,
dtoth1,"Computes the triangular number of the input integer, aka n(n-1)/2",NORM,,I-ATH I-TN,COR,NIN,,
agoldb10,"The function returns 0 when the input is 0.  Otherwise, it returns f(x)  = f(x - 1) + (x - 1).",NORM,,I-R1ST I-BASE,COR,NIN NFCN,,
mmeyerso,Going in the positive direction you add to the previous direction n-1. Going in the negative direction you add negative(n) to the previous value.,NORM,I-DNEG,I-R1ST I-RBASE,COR,NIN,,
rgupta33,"0 --> 0. For integer k > 0, f(k) = f(k-1) + (k-1) For integer k < 0, f(k) = f(k+1) + |k|",NORM,,I-RBASEI-R1ST,COR,NIN NFCN ,,
sli96,"Given a positive integer n, calculates the sum of 0, 1, ..., n-2, n-1. Given a negative integer n, calculates the sum of 0, 1, ..., -n-1, -n.",NORM,I-DNEG,I-SDEXP I-SASC I-SBOUND,COR,NIN,,
jadkl,x = + is x-1 + x-2 ...+0 x=-  is abs (x+x+1+x+2+0),NORM,I-DNEG,I-SDEXP I-SDSC I-SBOUND,COR,NIN,,
jgraves1,"If positive n, sum numbers 1 to n-1 If negative n, sum numbers 1 to -n If 0, 0",NORM,I-DNEG,I-SWORD I-SASC,COR,NIN,,
mtu7,"This function is the sum of all numbers from 0 to the input (not inclusive). If the input is negative, the function is the sum of all numbers from 0 to the absolute value of the input (not inclusive).",NORM,I-DNEG,I-SWORD I-SASC I-SBOUND,COR,,,
pdam,"if positive, sums all integers from 0 up to the input. if negative, sums all absolute values of integers from 0 up to an including the input",NORM,I-DNEG,I-SWORD I-SASC I-SBOUND,COR,,,
